	!Sample_geo_accession	GSM388904	GSM388905	GSM388906	GSM388907	GSM388908	GSM388909	GSM388910	GSM388911	GSM388912	GSM388913	GSM388914	GSM388915	GSM388916	GSM388917	GSM388918	GSM388919	GSM388920	GSM388921	GSM388922	GSM388923	GSM388924	GSM388925	GSM388926	GSM388927	GSM388928	GSM388929	GSM388930	GSM388931	GSM1326822	GSM1326823	GSM1326824	GSM1326825	GSM1326826	GSM1326827	GSM1326828	GSM1326829	GSM1326830	GSM1326831	GSM1326832	GSM1326833	GSM1326834	GSM1326835	GSM1326836	GSM1326837	GSM1326838	GSM1326839	GSM1326840	GSM1326841	GSM1326842	GSM1326843	GSM1326844	GSM1326845	chr	start
10	cg00000658	-0.036	0.0494	0.2033	0.8238	0.123	0.0205	0.046	0.5057	0.152	0.4084	0.0522	0.1151	0.1116	0.0634	0.0255	0.0494	0.6809	0.3547	0.0488	-0.0266	0.08	0.1296	1.0663	0.1908	0.1921	0.2351	0.1304	0.2449	0.7406	0.6034	0.7413	0.598	0.6496	0.7687	0.8444	0.8242	0.663	0.6495	0.8243	0.6639	0.7575	0.8138	0.7058	0.6096	0.6518	0.8932	0.8316	0.8294	0.8454	0.7359	0.6612	0.8615	9	139997924
11	cg00000714	11.6025	26.1354	4.9406	0.5721	6.6987	11.769	11.3187	3.1826	6.8568	1.9367	6.5865	15.2464	9.9214	11.1772	12.9289	5.8152	4.244	4.7069	13.4713	9.803	10.9616	15.9454	1.439	10.7933	4.38	17.8156	9.6732	5.4909	0.1185	0.128	0.1149	0.1219	0.1139	0.1065	0.115	0.1419	0.0943	0.0853	0.0963	0.0877	0.0862	0.1055	0.1041	0.1265	0.1188	0.1674	0.1263	0.1025	0.1347	0.0896	0.1293	0.1269	19	54695678
12	cg00000721	159.4526	363.0369	161.6144	31.9292	171.3227	211.3108	240.7235	157.7889	219.7752	75.9334	289.1276	216.5096	228.8648	330.5901	212.6497	167.1872	246.3595	206.1158	218.8811	213.7123	204.0424	211.6063	5.3087	211.9101	127.8619	230.7957	182.5876	203.3926	0.9439	0.9529	0.9402	0.9582	0.9609	0.9781	0.9551	0.9626	0.9865	0.974	0.9766	0.9611	0.9531	0.9782	0.9818	0.9919	0.9533	0.9466	0.9029	0.9484	0.9576	0.9568	0.9572	0.947	6	25282779
13	cg00000734	9.3699	9.9038	22.4716	11.8457	11.4656	7.0921	7.7296	27.5121	19.4556	25.5722	19.991	11.2053	13.7025	16.6783	9.5276	12.0159	26.3318	26.4097	11.9588	14.9265	8.3024	10.4066	3.83	17.0001	6.6569	13.5823	10.231	22.0067	0.0455	0.0457	0.0348	0.0396	0.0506	0.0355	0.0324	0.039	0.038	0.031	0.0411	0.0363	0.0272	0.0455	0.0359	0.0448	0.0365	0.0404	0.0457	0.0408	0.0374	0.0369	0.0506	0.0347	3	128902377
14	cg00000769	5.2445	6.5405	11.0644	17.3599	12.2061	7.0115	10.4233	20.8911	21.4563	31.0179	20.6789	8.4576	11.8287	14.4718	6.4247	10.1692	19.8405	22.2158	6.6623	6.5474	9.5236	6.4968	4.1095	11.9629	5.0184	6.4091	5.2415	17.7423	0.0643	0.0671	0.065	0.0702	0.0718	0.0408	0.0664	0.0555	0.0801	0.0892	0.1046	0.0938	0.1056	0.0949	0.0891	0.0927	0.0588	0.0751	0.078	0.0506	0.0608	0.0837	0.0862	0.0713	12	124086477
15	cg00000807	16.6531	15.7429	36.7031	3.7715	26.9653	27.7873	40.0385	30.3868	39.413	15.4488	29.3277	15.2891	33.2425	45.9086	32.3905	22.0559	31.4838	60.5792	38.4669	17.4528	49.6321	22.1052	3.576	44.5082	39.3452	14.8711	32.8219	34.147	0.5763	0.6621	0.5133	0.6856	0.554	0.5343	0.6897	0.5851	0.7375	0.5074	0.8114	0.5589	0.4221	0.6652	0.854	0.4681	0.8218	0.7062	0.579	0.5758	0.7331	0.5873	0.7002	0.5632	2	23913414
16	cg00000884	17.4901	17.4953	48.2336	54.766	24.6995	24.6387	34.8519	138.8696	78.7425	86.9872	80.0799	25.7606	39.8616	35.1906	26.6108	60.7332	73.2787	116.2231	26.1733	11.2095	24.378	18.7831	8.0372	39.3811	27.8201	28.4671	24.5027	59.3453	0.8698	0.8163	0.8648	0.8374	0.8229	0.8775	0.8721	0.858	0.857	0.8643	0.8634	0.8048	0.8691	0.874	0.8373	0.9041	0.8549	0.8462	0.8571	0.8066	0.8456	0.7824	0.8471	0.8413	4	154609857
17	cg00000905	19.7538	19.0881	23.7173	5.2279	23.486	18.0202	18.6125	30.2776	32.3403	9.5816	34.7843	28.2945	26.0457	32.9458	26.3102	27.101	24.8216	49.0416	31.6462	26.941	27.0285	23.3035	2.7872	39.3897	14.9175	33.5164	22.7949	26.3349	0.0541	0.0615	0.0511	0.0608	0.0498	0.069	0.0507	0.0589	0.0311	0.0546	0.0453	0.0341	0.0339	0.0268	0.0299	0.0367	0.0549	0.0554	0.0512	0.0369	0.0508	0.0738	0.0593	0.0647	15	59785306
18	cg00000924	0.3568	1.9398	0.1586	0.3811	0.1765	0.3057	0.2135	0.1517	0.3712	0.2173	0.2336	0.1881	0.3118	0.3429	0.2859	0.0966	0.4749	0.4606	0.2211	-0.062	0.3464	0.3152	0.4727	0.3312	0.1587	0.2684	0.3113	0.3208	0.2428	0.2953	0.3373	0.2416	0.2816	0.2274	0.2916	0.267	0.2057	0.1929	0.2124	0.212	0.2025	0.2155	0.2078	0.1835	0.2911	0.2504	0.2478	0.3215	0.2427	0.2162	0.25	0.2556	11	2720463
19	cg00000948	9.8351	13.5873	9.3464	2.5362	10.468	18.2831	10.0465	13.7149	21.5293	1.4658	21.5617	10.7718	20.6657	4.3582	15.058	21.2128	0.7656	17.4145	14.2761	18.9794	10.4836	15.4006	0.0429	11.8345	8.3658	9.4785	14.9838	2.036	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8	49890609
20	cg00000957	163.3043	170.8729	328.6541	100.2206	289.7431	175.463	177.4421	399.297	387.3262	381.8937	354.1476	136.0641	196.002	386.686	144.1688	225.6557	582.5594	455.5238	200.9494	149.8196	233.8263	155.6544	70.9572	315.5383	161.8537	127.9277	211.407	377.4343	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1	5937253
21	cg00001099	0.1052	0.0772	0.2257	0.5179	-0.0009	0.0183	0.0752	0.2991	0.2472	0.2414	0.0184	0.1671	0.0624	0.1714	0.1346	0.2013	0.3052	0.3474	0.1001	0.0869	0.0701	0.0166	0.5316	0.2546	0.3842	0.1071	0.0494	0.3829	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8	87081553
22	cg00001245	0.1453	0.0482	0.4368	0.2982	-0.0474	0.1368	0.18	0.0645	0.2337	0.4434	0.0646	0.2109	0.1158	0.0921	0.0926	0.168	0.2023	0.1891	0.1279	-0.053	0.1059	0.1541	0.1916	0.0878	0.2386	0.0541	0.0325	0.0709	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3	15106710
23	cg00001249	39.1831	27.1847	23.4612	1.9584	27.2614	32.1198	31.1496	28.8412	38.022	4.5771	36.5369	40.5878	51.4481	46.2092	49.3196	28.0578	11.1145	39.6837	45.2881	49.1522	32.4568	42.445	0.1664	32.345	21.1867	46.8454	35.7195	22.8092	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	14	60389786
24	cg00001261	10.4954	38.9766	8.9307	1.0867	7.9184	14.5887	16.4195	2.6849	7.6776	0.6154	8.2925	24.0067	18.388	4.0429	41.9396	5.2777	1.0808	3.7214	13.3282	33.6009	9.7293	21.4377	1.6612	4.8509	3.176	20.1507	11.4726	1.7053	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	16	3463964
25	cg00001269	0.189	0.4577	0.3607	0.4144	0.2452	0.092	0.186	0.4797	0.3896	0.3742	-0.0055	0.027	0.1625	0.2228	0.2312	0.0273	0.8223	0.3265	0.2236	0.0452	0.1631	0.0487	0.0769	0.1716	0.3806	0.1879	0.0465	-0.0176	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	20	48959004
